time	V(vout)
Step Information: Run=0  (Run: 1/65)
1.431170483871595e+000	3.297565e+000
1.431180020614759e+000	3.297517e+000
1.431199094101087e+000	3.297358e+000
1.431203862472669e+000	3.297262e+000
1.431213399215833e+000	3.296912e+000
1.431214654234777e+000	3.296808e+000
1.431217164272665e+000	3.296450e+000
1.431217791782137e+000	3.296282e+000
1.431219046801081e+000	3.295740e+000
1.431219288895794e+000	3.295553e+000
1.431219825447858e+000	3.294926e+000
1.431219930173132e+000	3.294710e+000
1.431220139623680e+000	3.294133e+000
1.431220315176355e+000	3.293471e+000
1.431220359064524e+000	3.293230e+000
1.431220446840862e+000	3.292530e+000
1.431220562555003e+000	3.291101e+000
1.431220651907188e+000	3.289233e+000
1.431220698320877e+000	3.287534e+000
1.431220733815626e+000	3.285392e+000
1.431220760583162e+000	3.282771e+000
1.431220785852022e+000	3.278651e+000
1.431220807046818e+000	3.272650e+000
1.431220824502999e+000	3.263776e+000
1.431220839158654e+000	3.250274e+000
1.431220852403569e+000	3.227795e+000
1.431220867400664e+000	3.184529e+000
1.431220881236869e+000	3.123420e+000
1.431220904195321e+000	2.992690e+000
1.431220925524064e+000	2.857240e+000
1.431220950829331e+000	2.688662e+000
1.431220994030602e+000	2.395783e+000
1.431221080433142e+000	1.806158e+000
1.431221253238224e+000	6.329293e-001
1.431221318523337e+000	2.175889e-001
1.431221352376672e+000	3.384686e-002
1.431221352583260e+000	3.304906e-002
1.431221352996436e+000	3.194651e-002
1.431221353822789e+000	3.000623e-002
1.431221355475493e+000	2.655448e-002
1.431221357196322e+000	2.350677e-002
1.431221360637978e+000	1.873904e-002
1.431221364722223e+000	1.463954e-002
1.431221369875330e+000	1.118318e-002
1.431221374593747e+000	9.098962e-003
1.431221379660768e+000	7.623795e-003
1.431221385540482e+000	6.477635e-003
1.431221393564933e+000	5.441249e-003
1.431221402373392e+000	4.700033e-003
1.431221414701319e+000	4.044592e-003
1.431221429573942e+000	3.549800e-003
1.431221450596935e+000	3.127550e-003
1.431221477357609e+000	2.808901e-003
1.431221516590064e+000	2.542447e-003
1.431221569100698e+000	2.343853e-003
1.431221649578667e+000	2.182041e-003
1.431221762953053e+000	2.064523e-003
1.431221946591227e+000	1.971929e-003
1.431222219851514e+000	1.907605e-003
1.431222694788601e+000	1.859523e-003
1.431224934686081e+000	1.808606e-003
1.431227911861867e+000	1.797462e-003
1.431233866213440e+000	1.793567e-003
1.456850463521052e+000	1.791269e-003
1.481264526021052e+000	1.789608e-003
1.505678588521052e+000	1.788149e-003
1.530092651021052e+000	1.786867e-003
1.554506713521052e+000	1.785742e-003
1.578920776021052e+000	1.784753e-003
1.603334838521052e+000	1.783885e-003
1.627748901021052e+000	1.783123e-003
1.652162963521052e+000	1.782453e-003
1.676577026021052e+000	1.781866e-003
1.700991088521052e+000	1.781354e-003
